,Mês,Identificação,Nome do Produto,Un,Quantidade,Custo Unitário,Custo Total,Valor Unitário,Valor Total,Margem
235,Fevereiro,1588,MEIA MALHA 100% POLIESTER - BEGE,KG,35.26,20.0601,707.32,31.15,1098.35,35.6
236,Fevereiro,1312,MEIA MALHA 100% POLIESTER - BRANCA,KG,3068.16,16.2174,49757.77,30.21,92685.86,46.32
237,Fevereiro,1572,MEIA MALHA 100% POLIESTER - CINZA PRATA,KG,177.95,17.1937,3059.62,32.59,5798.63,47.24
238,Fevereiro,1566,MEIA MALHA 100% POLIESTER - FERRARI,KG,155.42,19.0544,2961.45,32.92,5117.18,42.13
239,Fevereiro,1596,MEIA MALHA 100% POLIESTER - LARANJA,KG,130.65,21.37,2792.0,34.45,4501.39,37.97
240,Fevereiro,1589,MEIA MALHA 100% POLIESTER - PEROLA,KG,98.28,16.6199,1633.41,30.9,3037.2,46.22
241,Fevereiro,1587,MEIA MALHA 100% POLIESTER - PETROLEO,KG,149.77,20.4799,3067.28,31.77,4757.89,35.53
242,Fevereiro,1579,MEIA MALHA 100% POLIESTER - PINK,KG,14.85,21.1898,314.67,34.79,516.67,39.1
243,Fevereiro,1563,MEIA MALHA 100% POLIESTER - PRETO,KG,500.82,19.9401,9986.42,33.11,16580.66,39.77
244,Fevereiro,1646,MEIA MALHA 100% POLIESTER - ROSA BEBE,KG,17.25,16.64,287.04,37.79,651.8,55.96
245,Fevereiro,1578,MEIA MALHA 100% POLIESTER - VERDE FOLHA,KG,291.52,22.0461,6426.9,36.1,10523.8,38.93
246,Fevereiro,23,M/M 100% ALGODAO PENTEADA - AZ MARINHO,KG,72.7,26.77,1946.18,46.79,3401.98,42.79
247,Fevereiro,16,M/M 100% ALGODAO PENTEADA - AZUL ROYAL,KG,1.15,26.426,30.39,47.95,55.14,44.89
248,Fevereiro,1326,M/M 100% ALGODAO PENTEADA - BRANCO,KG,56.67,23.5401,1334.02,41.9,2374.36,43.82
249,Fevereiro,179,M/M 100% ALGODAO PENTEADA - PRETA,KG,133.42,26.8301,3579.68,47.68,6361.08,43.73
250,Fevereiro,1551,MM 96% POLIESTER/4% ELASTANO - BRANCO,KG,31.3,26.59,832.27,42.02,1315.25,36.72
251,Fevereiro,1475,M/M PIQUET 50%POL/50%ALG - AZ MOTORISTA,KG,38.265,27.9001,1067.6,48.95,1873.17,43.01
252,Fevereiro,1465,M/M PIQUET 50%POL/50%ALG - AZUL MARINHO,KG,260.02,24.822,6454.24,48.02,12486.82,48.31
253,Fevereiro,1491,M/M PIQUET 50%POL/50%ALG - AZUL ROYAL,KG,65.35,29.6299,1936.32,50.86,3323.56,41.74
254,Fevereiro,1522,M/M PIQUET 50%POL/50%ALG - BEGE,KG,26.2,18.9797,497.27,49.64,1300.47,61.76
255,Fevereiro,172,M/M PIQUET 50%POL/50%ALG - BRANCO,KG,701.4,21.262,14913.21,43.06,30201.75,50.62
256,Fevereiro,1520,M/M PIQUET 50%POL/50%ALG - CINZA CHUMBO,KG,62.63,26.5101,1660.33,50.39,3156.02,47.39
257,Fevereiro,1519,M/M PIQUET 50%POL/50%ALG - CINZA PRATA,KG,1.2,22.5083,27.01,49.67,59.6,54.68
258,Fevereiro,42,M/M PIQUET 50%POL/50%ALG - GRAFITE,KG,54.14,32.6516,1767.76,50.41,2729.17,35.23
259,Fevereiro,1470,M/M PIQUET 50%POL/50%ALG - PRETO,KG,144.09,23.7902,3427.94,47.95,6909.64,50.39
260,Fevereiro,1521,M/M PIQUET 50%POL/50%ALG - VD BANDEIRA,KG,395.41,28.8099,11391.75,46.61,18431.34,38.19
261,Fevereiro,1473,M/M PIQUET 50%POL/50%ALG - VERDE MUSGO,KG,136.98,27.59,3779.28,52.81,7233.73,47.75
262,Fevereiro,1464,M/M PIQUET 50%POL/50%ALG - VERMELHO,KG,79.0,27.54,2175.66,47.67,3766.18,42.23
263,Fevereiro,1602,M/M PIQUET 50%POL/50%ALG - VINHO,KG,8.04,28.5708,229.71,54.12,435.11,47.21
264,Fevereiro,1659,M/M PIQUET 65%POLI. 35%VISC - CZ PRATA,KG,12.3,26.3593,324.22,49.89,613.63,47.16
265,Fevereiro,1552,M/M PIQUET 65%POLI. 35%VISC - MESCLA,KG,885.411,22.65,20054.59,39.75,35195.09,43.02
266,Fevereiro,1621,M/M PV 65%POLIEST. 35%VISC. - AM CANARIO,KG,157.67,25.4602,4014.31,40.26,6348.26,36.77
267,Fevereiro,1628,M/M PV 65%POLIEST. 35%VISC. - AM OURO,KG,238.23,20.2286,4819.07,38.86,9258.16,47.95
268,Fevereiro,1607,M/M PV 65%POLIEST. 35%VISC. - AZ MARINHO,KG,2739.3,22.353,61231.67,39.14,107226.38,42.89
269,Fevereiro,1645,M/M PV 65%POLIEST. 35%VISC. - AZUL BEBE,KG,25.18,22.8899,576.37,40.42,1017.76,43.37
270,Fevereiro,1606,M/M PV 65%POLIEST. 35%VISC. - AZUL ROYAL,KG,1836.37,21.9406,40291.15,39.41,72376.87,44.33
271,Fevereiro,1631,M/M PV 65%POLIEST. 35%VISC. - BANDEIRA,KG,1070.32,27.7927,29747.16,40.79,43659.15,31.87
272,Fevereiro,1612,M/M PV 65%POLIEST. 35%VISC. - BEGE AREIA,KG,174.42,25.0403,4367.54,40.3,7028.36,37.86
273,Fevereiro,1544,M/M PV 65%POLIEST. 35%VISC. - BRANCO,KG,4749.55,20.9567,99535.02,32.26,153206.41,35.03
274,Fevereiro,1644,M/M PV 65%POLIEST. 35%VISC. - CAQUI,KG,184.09,20.75,3819.88,34.77,6401.65,40.33
275,Fevereiro,1632,M/M PV 65%POLIEST. 35%VISC. - CELESTE,KG,31.33,20.2097,633.17,43.08,1349.6,53.08
276,Fevereiro,1629,M/M PV 65%POLIEST. 35%VISC. - CZ CHUMBO,KG,605.69,21.1717,12823.52,38.74,23462.53,45.34
277,Fevereiro,1662,M/M PV 65%POLIEST. 35%VISC. - CZ FORTE,KG,407.44,23.45,9554.47,34.87,14207.26,32.75
278,Fevereiro,1617,M/M PV 65%POLIEST. 35%VISC. - CZ PRATA,KG,185.41,21.39,3965.92,39.3,7286.97,45.58
279,Fevereiro,1627,M/M PV 65%POLIEST. 35%VISC. - ESMERALDA,KG,59.34,22.1199,1312.6,40.88,2425.77,45.89
280,Fevereiro,1610,M/M PV 65%POLIEST. 35%VISC. - FERRARI,KG,413.32,22.2032,9177.03,38.99,16115.73,43.06
281,Fevereiro,1635,M/M PV 65%POLIEST. 35%VISC. - GRAFITE,KG,950.87,22.6851,21570.66,39.59,37640.94,42.69
282,Fevereiro,1622,M/M PV 65%POLIEST. 35%VISC. - JADE,KG,299.45,23.78,7120.94,37.97,11368.81,37.36
283,Fevereiro,1615,M/M PV 65%POLIEST. 35%VISC. - LARANJA,KG,610.04,21.5793,13164.28,39.38,24021.05,45.2
284,Fevereiro,1643,M/M PV 65%POLIEST. 35%VISC. - MARROM,KG,107.25,25.3801,2722.02,35.86,3845.86,29.22
285,Fevereiro,1634,M/M PV 65%POLIEST. 35%VISC. - MOTORISTA,KG,516.59,20.0867,10376.59,37.71,19478.58,46.73
286,Fevereiro,1641,M/M PV 65%POLIEST. 35%VISC. - PEROLA,KG,58.38,24.4003,1424.49,39.88,2328.42,38.82
287,Fevereiro,1619,M/M PV 65%POLIEST. 35%VISC. - PETROLEO,KG,189.7,21.6198,4101.29,39.86,7562.3,45.77
288,Fevereiro,1616,M/M PV 65%POLIEST. 35%VISC. - PINK,KG,206.8,24.37,5039.73,41.93,8670.36,41.87
289,Fevereiro,1609,M/M PV 65%POLIEST. 35%VISC. - PRETO,KG,1792.7,22.7047,40702.88,39.72,71209.31,42.84
290,Fevereiro,1625,M/M PV 65%POLIEST. 35%VISC. - ROXO,KG,187.32,21.7501,4074.24,38.73,7254.13,43.84
291,Fevereiro,1611,M/M PV 65%POLIEST. 35%VISC. - VD FOLHA,KG,1525.49,25.7715,39314.3,37.24,56814.02,30.8
292,Fevereiro,1626,M/M PV 65%POLIEST. 35%VISC. - VD LIMAO,KG,251.15,24.59,6175.8,36.32,9120.61,32.29
293,Fevereiro,1623,M/M PV 65%POLIEST. 35%VISC. - VD MUSGO,KG,558.62,21.94,12256.15,38.88,21717.98,43.57
294,Fevereiro,1624,M/M PV 65%POLIEST. 35%VISC. - VERDE AGUA,KG,136.79,22.8779,3129.47,39.02,5337.78,41.37
295,Fevereiro,1608,M/M PV 65%POLIEST. 35%VISC. - VERMELHO,KG,347.96,22.0899,7686.41,39.43,13719.15,43.97
296,Fevereiro,1620,M/M PV 65%POLIEST. 35%VISC. - VINHO,KG,206.67,23.8312,4925.2,37.94,7840.51,37.18
297,Fevereiro,842,M/M PV 67%POLIEST. 33%VISC. - MESCLA,KG,1000.53,20.5207,20531.65,38.57,38589.05,46.79
298,Fevereiro,1494,PUNHO AD. 50%ALG / 50%POLI - AZ MARINHO,PC,499.0,0.5797,289.29,2.32,1158.6,75.03
299,Fevereiro,1007,PUNHO AD. 50%ALG / 50%POLI - AZUL ROYAL,PC,58.0,0.66,38.28,2.36,136.6,71.98
300,Fevereiro,1004,PUNHO AD. 50%ALG / 50%POLI - BRANCO,PC,100.0,0.5489,54.89,2.39,239.0,77.03
301,Fevereiro,1557,PUNHO AD. 50%ALG / 50%POLI - CZ CHUMBO,PC,29.0,0.61,17.69,2.42,70.1,74.76
302,Fevereiro,1006,PUNHO AD. 50%ALG / 50%POLI - GRAFITE,PC,20.0,0.73,14.6,2.3,46.0,68.26
303,Fevereiro,1558,PUNHO AD. 50%ALG / 50%POLI - MOTORISTA,PC,20.0,0.57,11.4,2.3,46.0,75.22
304,Fevereiro,1492,PUNHO AD. 50%ALG / 50%POLI - PRETO,PC,382.0,0.75,286.5,2.24,854.8,66.48
305,Fevereiro,1541,PUNHO AD. 50%ALG / 50%POLI - VD BANDEIRA,PC,110.0,0.57,62.7,2.16,237.8,73.63
306,Fevereiro,1549,PUNHO AD. 50%ALG / 50%POLI - VERDE MUSGO,PC,271.0,0.6893,186.82,2.39,649.0,71.21
307,Fevereiro,1493,PUNHO AD. 50%ALG / 50%POLI - VERMELHO,PC,31.0,0.64,19.84,2.5,77.5,74.4
308,Fevereiro,1604,PUNHO AD. 50%ALG / 50%POLI - VINHO,PC,7.0,0.63,4.41,2.3,16.1,72.61
309,Fevereiro,1650,PUNHO M/M 98% ALG 2% ELAST - AZ. MARINHO,KG,4.71,27.5796,129.9,48.85,230.08,43.54
